수정일,제목,내용
2026-05-22,세종학당재단_세종학당 학습 앱_월별 다운로드 수,국외 한국어 및 한국문화 보급 및 확산을 목적으로 설립하고 운영하고 있습니다.
2026-05-22,한국장학재단_대학생 청소년교육지원장학금_운영결과보고 첨부파일상세,"대학생 청소년교육지원장학금 멘토링 운영결과보고 파일 관리 정보로 대학명, 파일분류, 업로드파일명 등의 정보를 제공하고 있음 데이터 제공항목은 사업 상품명, 사업연도, 사업학기, 사업 참여 대학명, 운영결과보고 양식, 업로드 파일명이 있습니다. 대학생 청소년교육지원장학금은 대학생이 초중고등학생 대상으로 멘토링을 지원하고, 대학생에게는 장학금을 지원하는 것을 목적으로 합니다. 대학생 청소년교육지원장학금 관련 정보는 ""한국장학재단 누리집(https://www.kosaf.go.kr) > 인재육성 > 대학생지식멘토링 > 대학생 청소년교육지원장학금""에서 확인 가능"
2026-05-22,한국장학재단_시도별 대출잔액 및 연체잔액 현황,"기준 시점 학자금대출 실행년도(학기)별, 상품(일반 상환 학자금대출, 취업 후 상환 학자금대출 등)별, 시도별 연체 1개월 미만인 정상계좌와 연체 1개월 ~ 연체 6개월 미만인 계좌의 학자금대출 내역(대출금액, 대출금리, 대출잔액, 연체잔액 등) 관련 내용을 제공합니다. ※ 단위: 대출금액(원), 대출잔액(원), 등록금잔액(원), 생활비용잔액(원), 대출금리(%) ※ 대출학기 3학기: 특정 학교의 3학기제 ※ 주소 빈 값: 실 거주지 주소의 값이 없는 경우 ※ 생활비용 잔액(연체 잔액)의 0 또는 빈 값: 생활비용 잔액이 없을 때, 등록금 잔액(연체 잔액)이 있으면 0이고 등록금 잔액(연체 잔액)이 없으면 빈 값 ※ 상세 정보는 한국장학재단 홈페이지(https://www.kosaf.go.kr/ko/tuition.do?pg=tuition_main)를 참고바랍니다."
2026-05-22,부산광역시 금정구_사업장폐기물배출자 신고현황,"사업장 폐기물 배출자 신고현황(폐기물구분, 상호명, 대표자, 폐기물종류, 처리방법, 주소 등) 입니다. *주요 데이터 컬럼별 상세설명 폐기물구분: 부산광역시 금정구 사업장폐기물배출자가 신고한 폐기물의 구분 상호명: 부산광역시 금정구 사업장폐기물배출자의 상호명 대표자: 부산광역시 금정구 사업장폐기물을 배출한 사업장의 대표자 명 폐기물종류: 부산광역시 금정구 사업장폐기물배출자가 신고한 폐기물의 종류 처리방법: 부산광역시 금정구 사업장폐기물배출자가 신고한 폐기물의 처리방법 주소: 부산광역시 금정구 사업장폐기물을 배출한 사업장의 주소 데이터기준일: 부산광역시 금정구 사업장폐기물배출자 신고현황 데이터가 작성된 기준일자"
2026-05-22,부산광역시_만 65세이상 장애인 등록현황,"‘부산광역시_만 65세이상 장애인 등록현황’은 부산광역시에 등록된 전체 장애인 중 만 65세 이상인 장애인의 현황을 지역별 장애유형별로 나타낸 데이터입니다. 데이터 작성의 기준일은 25년 12월 31일입니다. 부산광역시 전체 장애인 수 173,871명 중 65세 이상 장애인 수는 103,678명이며, 해당 대상자를 주민등록지인 행정동별로 구분하고 주장애유형에 따라 장애인 수를 표시하였습니다. 장애상세유형과 중증장애여부는 표시되지 않았습니다. 또한 같은 나이대별로 묶어 인원수를 나타냈습니다."
2026-05-22,한국농업기술진흥원_농식품산업동향_GW,"한국농업기술진흥원에서 제공하는 농식품산업동향 정보 API 데이터이다. 본 데이터는 국내외 농업 및 농식품 산업 분야의 최신 기술동향, 시장동향, 특허현황, 산업분석 자료 등을 제공하며, 농업기술 및 식품산업 관련 최신 이슈와 동향 정보를 조회할 수 있도록 구성되어 있다. 또한 제목, 등록일, 등록자, 조회수, 상세내용, 첨부파일 정보 등을 함께 제공하여 농식품 산업 관련 정책 수립, 연구개발, 산업 분석, 시장조사 및 데이터 기반 서비스 개발 등에 활용할 수 있다. 공공기관, 연구기관, 기업 및 일반 국민 등이 농업기술과 농식품 산업 정보를 효율적으로 탐색하고 활용할 수 있도록 지원하는 공공데이터 서비스이다."
2026-05-22,관세청_시도별 품목별 수출입실적(GW),"통관업무처리 절차를 기초로 수집한 무역자료를 시도별 HSCode 품목기준으로 집계한 시도별 품목별 수출입무역통계입니다. 집계한 수출입무역통계입니다. HS Code란 모든 상품에 고유번호를 부여하는 국제적 상품분류체계를 말하며, 우리나라 17개(서울특별시, 대구광역시, 부산광역시, 광주광역시 등) 시도별입니다. 수출입무역통계란 사전적 의미로 국민경제가 다른 나라와의 사이에서 행하는 화물의 교류에 관한 통계로 일국의 경제영역으로 반입(수입)되거나 반출(수출)됨으로써 그 나라의 물적 자원을 증가 또는 감소시키는 모든 상품이 기록되며, 단순히 한 나라를 통과하는 물품(통과물품)이나 일시적으로 반입 또는 반출되는 물품은 그 나라의 물적 자원량을 증가시키거나 감소시키지 않기 때문에 무역통계에 포함되지 않습니다. 작성할 때의 기준이 되는 무역통계지역은 지리적·행정적·국민 경제적 관점에서 정해지며, 우리나라를 포함한 대부분 국가의 경우 관세법이 포괄적으로 적용되는 영역을 의미하는 관세영역과 무역통계지역은 개념적으로 일치합니다. 따라서 관세영역을 넘어서 행해지는 화물의 교류 통계가 무역통계라 할 수 있습니다. 우리나라는 수입은 CIF금액기준으로, 수출은 FOB 금액기준으로 집계합니다. 매월 15일경 수출입 신고의 정정, 취하 등 변경내역을 반영하여 전월까지의 자료를 현행화하고 있으며 주기는 1개월입니다. 중량은 순중량(kg)이며, 금액은 수입(과세가격미화금액), 수출(신고미화금액) 기준입니다."
2026-05-22,관세청_품목별 국가별 수출입실적(GW),"수출입신고 통관업무처리 절차를 기초로 수집한 무역자료를 국가 및 HS Code(2단위, 4단위, 6단위, 10단위)별 기준으로 집계한 국가별 품목별 수출입무역통계입니다. 수출입무역통계란 사전적 의미로 국민경제가 다른 나라와의 사이에서 행하는 화물의 교류에 관한 통계로 일국의 경제영역으로 반입(수입)되거나 반출(수출)됨으로써 그 나라의 물적 자원을 증가 또는 감소시키는 모든 상품이 기록되며, 단순히 한 나라를 통과하는 물품(통과물품)이나 일시적으로 반입 또는 반출되는 물품은 그 나라의 물적 자원량을 증가시키거나 감소시키지 않기 때문에 무역통계에 포함되지 않습니다. 작성할 때의 기준이 되는 무역통계지역은 지리적·행정적·국민 경제적 관점에서 정해지며, 우리나라를 포함한 대부분 국가의 경우 관세법이 포괄적으로 적용되는 영역을 의미하는 관세영역과 무역통계지역은 개념적으로 일치합니다. 따라서 관세영역을 넘어서 행해지는 화물의 교류 통계가 무역통계라 할 수 있습니다. 우리나라는 수입은 CIF금액기준으로, 수출은 FOB 금액기준으로 집계합니다. HS Code란 모든 상품에 고유번호를 부여하는 국제적 상품분류체계를 말합니다. 매월 15일경 수출입 신고의 정정, 취하 등 변경내역을 반영하여 전월까지의 자료를 현행화하고 있으며 주기는 1개월입니다. 중량은 순중량(kg)이며, 금액은 수입(과세가격미화금액), 수출(신고미화금액) 기준입니다."
2026-05-22,관세청_시군구별 품목별 수출입실적,"관세청 시군구별_품목별 수출입통계정보의 무역수지, 수출건수, 수출금액, 수입건수, 수입금액, 기간 등을 조회 할 수 있는 서비스입니다. 개요: 수출입 통관자료를 지역별 중심으로 품목별, 성질별 등 기준에 따라 집계하여 국민, 기업, 공공기관 등이 쉽고 편리하게 조회할 수 있도록 서비스 제공 공표주기 : 1개월 공표시기 : 매월 15일경 수출입 신고의 정정, 취하 등 변경내역을 반영하여 전월까지의 자료를 현행화 통계제공 기준 기준일 : 수리일 (기본적으로 신고수리일 기준으로 수출입 통계를 집계) , 출항일 (수출의 경우 출항일 기준으로도 통계 조회 가능하며, 출항일 기준 선택 시 수출통계에만 적용됨) 지역 : 수입은 「납세의무자 주소지 우편번호」, 수출은 「제조장소 우편번호」 기준으로 집계 중량은 순중량이며, 금액은 수입(과세가격미화금액), 수출(신고미화금액) 기준임"
2026-05-22,관세청_품목별 수출입실적(GW),"수출입신고 통관업무처리 절차를 기초로 수집한 무역자료를 HS Code(2단위, 4단위, 6단위, 10단위)기준으로 집계한 품목별 수출입무역통계입니다. 수출입무역통계란 사전적 의미로 국민경제가 다른 나라와의 사이에서 행하는 화물의 교류에 관한 통계로 일국의 경제영역으로 반입(수입)되거나 반출(수출)됨으로써 그 나라의 물적 자원을 증가 또는 감소시키는 모든 상품이 기록되며, 단순히 한 나라를 통과하는 물품(통과물품)이나 일시적으로 반입 또는 반출되는 물품은 그 나라의 물적 자원량을 증가시키거나 감소시키지 않기 때문에 무역통계에 포함되지 않습니다. 작성할 때의 기준이 되는 무역통계지역은 지리적·행정적·국민 경제적 관점에서 정해지며, 우리나라를 포함한 대부분 국가의 경우 관세법이 포괄적으로 적용되는 영역을 의미하는 관세영역과 무역통계지역은 개념적으로 일치합니다. 따라서 관세영역을 넘어서 행해지는 화물의 교류 통계가 무역통계라 할 수 있습니다. 우리나라는 수입은 CIF금액기준으로, 수출은 FOB 금액기준으로 집계합니다. HS Code란 모든 상품에 고유번호를 부여하는 국제적 상품분류체계를 말합니다. 매월 15일경 수출입 신고의 정정, 취하 등 변경내역을 반영하여 전월까지의 자료를 현행화하고 있으며 주기는 1개월입니다. 중량은 순중량(kg)이며, 금액은 수입(과세가격미화금액), 수출(신고미화금액) 기준입니다."
2026-05-22,전국향토문화유적표준데이터,"보존할 가치가 있다고 지정한 향토문화유적 정보(국가 및 광역시도 등에서 지정한 문화재 제외) *항목명: 향토문화유적명,문화유적지정번호,향토문화유적구분,향토문화유적종류,소재지도로명주소,소재지지번주소,위도,경도,지정일자,소유주체구분,소유자명,규모,조성시대,이미지정보,향토문화유적소개,관리기관전화번호,관리기관명"
2026-05-22,전국안심택배함표준데이터,"범죄예방을 위해 공공장소에 설치된 무인택배함에 대한 정보 *항목명: 시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호"
